sifra,naziv,placa,lokacija,opis
321429,ZDRAVSTVENA NEGA,5.49 €/h neto (6.50 €/h bruto),LJUBLJANA,"Zdravstvena nega na kirurškem hospitalnem oddelku. Pogoj: študent/ka zdravstvene fakultete, smer zdravstvena nega.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321429 . Narava dela: začasno in občasno delo "
321428,POUČEVANJEDELO Z OTROKI,12.00 €/h neto (14.20 €/h bruto),MARIBOR,"Absolvent/ka anglistike ali germanistike. Potrebujejo osebo za poučevanje angleščine in/ali nemščine za predšolske otroke. Zaželene so izkušnje dela z otroki. Največ 3 ure tedensko, po potrebi in dogovoru. Pogoj je možnost lastnega prevoza do kraja izvajanja.Št. prostih mest: 2 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Popoldan. Šifra: 321428 . Narava dela: začasno in občasno delo "
321427,DELO V PROIZVODNJI,5.49 €/h neto (6.50 €/h bruto),LJUBLJANA,"Podjetje išče resno, pridno, polnoletno osebo za delo v pripravi dela (delavnica) - montaža in demontaža plastičnih kosov. Prijave + CV pošljite na e-mail ali pokličite.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Izmensko. Šifra: 321427 . Narava dela: začasno in občasno delo "
321426,DELO V PROIZVODNJI,5.49 €/h neto (6.50 €/h bruto),MENGEŠ,"Podjetje išče resno, pridno, polnoletno osebo za delo v pripravi dela (delavnica) - montaža in demontaža plastičnih kosov. Prijave + CV pošljite na e-mail ali pokličite.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321426 . Narava dela: začasno in občasno delo "
321425,PREVAJANJE,8.45 €/h neto (10.00 €/h bruto),LJUBLJANA,"Mlad kolektiv išče novo sodelavko(ca) z odličnim znanjem ROMUNŠČINE (zaželeno native speaker), ki bi pomagala urejati Google Ads kampanje, pomagala pri prevodu spletne strani in člankov. Ob delu se lahko veliko nauči o spletnem marketingu. Podjetje je vodilno v svojem segmentu v Sloveniji, na Hrvaškem, Romuniji in Južnoafriški republiki. Možnost kasnejše redne zaposlitve.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Dopoldan. Šifra: 321425 . Narava dela: začasno in občasno delo "
321423,GRADBENA DELA,6.00 €/h neto (7.10 €/h bruto),"LAŽE PRI SENOŽEČAH, NA TERENU","Pomoč pri pripravi površin in samem polaganju asfalta. Delo bi potekalo občasno, glede na same potrebe. Pogoj: opravljen vozniški izpit B-kategorije.Št. prostih mest: 1 . Trajanje: POLETJE 2020 . Delovnik: Dopoldan. Šifra: 321423 . Narava dela: začasno in občasno delo "
321422,ARHIVSKO DELO,4.65 €/h neto (5.50 €/h bruto),LJUBLJANA,"Opravljanje nalog v arhivu banke (urejanje zbirke dokumentarnega gradiva, fizična selitev ali prestavljanje gradiva in vlaganje dokumentacije). Delovni čas od ponedeljka do petka, po potrebi in dogovoru. Pogoj je starost nad  20 let. Prijavo pošljite skupaj z življenjepisom na e-mail.Št. prostih mest: 1 . Trajanje: 2 DO 3 MESECE . Delovnik: Dopoldan. Šifra: 321422 . Narava dela: začasno in občasno delo "
321421,DELO NA TERENU,6.00 €/h neto (7.10 €/h bruto),PRIMORSKA REGIJA,"Iščejo študente/ke, ki si želijo daljše sodelovanje in prihodke. Podjetje se ukvarja s prodajo električne energije in plina. Nudijo terensko delo, uvajanje pod mentorstvom, možnost napredovanja in dodatnih izobraževanj. Možnost zaposlitve po končanem študiju. Iščejo resne in zanesljive sodelavce. Prednost študij ekonomije, energetike, elektrotehnike.Veselijo se razgovora z vami.Št. prostih mest: 5 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321421 . Narava dela: začasno in občasno delo "
321420,MONTAŽADELO NA TERENU,7.00 €/h neto (8.28 €/h bruto),"TEREN, SLOVENIJA","Podjetje potrebuje polnoletno, spretno, vestno in zanesljivo osebo za pomoč pri montaži zunanjih otroških igral. Gre za delo na terenu, delovni čas ni določen, dela se po dogovoru in potrebi. Izkušnje pri podobnih delih so zaželene, a niso pogoj. Podjetje nudi možnost kasnejše zaposlitve. Interesenti naj v dopoldanskem času pokličejo na kontakt podjetja.Št. prostih mest: 1 . Trajanje: DLJE ČASA (OBČASNO), PO POTREBI, DOGOVO . Delovnik: Po dogovoru. Šifra: 321420 . Narava dela: začasno in občasno delo "
321419,DELO NA TERENUPOSPEŠEVANJE PRODAJE,6.00 €/h neto (7.10 €/h bruto),PRIMORSKA REGIJA,"Si zagnan, delaven? V podjetju se ukvarjajo s prodajo telekomunikacij in sončnih elektrarn, kar pomeni, da so pravi partner tako za začetnike in za vse, ki želite dolgoročno sodelovanje.Naloge: aktivno pridobivanje in svetovanje strankam na domu, Pričakujejo: komunikativnost, iznajdljivost, samoiniciativnost,pripravljenost na terensko delo, Nudijo: možnost napredovanja.Št. prostih mest: 4 . Trajanje: DLJE ČASA (OBČASNO) . Delovnik: Po dogovoru. Šifra: 321419 . Narava dela: začasno in občasno delo "
